Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1905,3.1,-1.6,-1.5,-1.6,-0.1,2.1,1.3,-1.3,0.2,0.3,0.7,1.9
1906,0.7,-0.8,0.9,0.4,-0.6,-0.4,-0.4,-0.8,0.2,0.4,-1,1.3
1907,2.9,-1,-0.4,0.4,1.6,0.3,-2.3,0.4,-0.3,1.1,0.2,1.8
1908,0.9,-0.2,0,-1.7,1,0.6,0,0.8,1.1,1,0.3,2.4
1909,0.2,0.8,-1.3,1.6,1.5,-1.3,0.7,1,2.1,0.9,1,0.2
1910,0.2,-0.7,-0.7,-1.8,-1.3,0.4,0.3,0.3,-0.3,0.7,1,-1.1
1911,0.3,0.5,-0.3,0,-1,-4,-0.3,-0.1,2.1,-0.5,0.3,-0.9
1912,0,2.7,-0.5,1.2,1.1,1.9,0,-0.5,-0.5,0.7,-1.8,-0.6
1913,0.8,0.8,0.1,-0.7,-0.5,0.8,-1.1,1.1,0.5,1.5,0.6,-0.4
1914,3.3,2.8,2.6,-0.3,-0.4,1.3,3.4,0.4,-0.2,1.5,1.2,1
1915,1.1,0.7,0.1,-1.1,1.8,1.4,0.2,-0.3,-0.2,1.8,1.3,2.7
1916,2.1,0.8,-0.3,0.3,0.1,0.2,-1.5,-0.9,0.6,0.4,0.7,0.2
1917,-2.5,0.7,0.3,1.8,1.1,0.9,0.4,0.2,2.1,0.4,-1,-2
1918,-1.1,1.3,0.4,-0.2,0.3,0.4,-0.4,0.5,1.1,1.3,0,1
1919,0.4,1.3,2.3,2.4,2.2,0.9,-0.8,1,0.2,0.5,0.1,-0.4
1920,1.1,-1.2,0.3,-0.5,-0.1,0.3,0.2,0.5,1.6,1.7,2.4,2.2
1921,1.2,2.5,0.9,-0.3,0.7,-2.2,0.5,-1.5,-0.8,-0.8,-0.3,1.3
1922,-1.8,1,0,0.6,-0.2,0.2,0.1,-0.2,-1.1,0.4,-0.6,0.6
1923,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1924,0.93,-0.03,-2.03,1.43,-1,-0.07,0.2,0.2,0.67,0.47,-1.7,-0.23
1925,-0.57,-1.13,0.3,-1.37,0.77,1.33,-1.33,-0.9,0.7,0.9,2.27,1.1
1926,0.87,-0.17,1.13,0.57,2.33,-1.23,-1.5,1.62,1.4,-0.65,1.08,-0.95
1927,0.4,-0.63,-0.95,-0.33,0.67,1,2.07,0.87,0.97,0.47,2.73,1.05
1928,0.4,0.77,0.93,1.73,2.85,1.3,1.45,-0.28,0.55,0.4,0,-0.05
1929,-0.2,-0.1,0.82,1.08,1.42,1.17,1.17,0.68,0.75,-0.05,-1.12,-2.35
1930,-3.12,1.92,1.7,-0.52,0.5,-0.57,1.77,0.05,0.03,0.93,-1.12,1.45
1931,-0.77,-1.55,2.1,-0.73,-1.56,0.58,-2.78,1.04,0.4,-0.08,1.02,-0.17
1932,2.26,-1.28,0.52,0.42,0.3,0.6,2.22,1.05,0.4,0.38,1,0.45
1933,-3.38,0.06,-1.48,-0.64,0.88,0,2.06,1.36,1.42,-0.32,0.74,2.22
1934,-2.07,-0.05,-0.52,-2.25,1.47,1.47,3.13,2.17,0.8,-1.47,-0.67,1.93
1935,0.52,1.6,2.77,-0.48,1.43,0.93,1.13,1.47,1.07,2.38,0.18,-2.75
1936,-1.55,-1.37,-2.95,-0.43,-0.7,1.32,-0.73,-0.77,1.82,2.15,0.92,-0.2
1937,0.6,0.3,0.43,0.2,0.78,-0.87,0.52,0.5,1.02,0.42,-1.55,-99.99
1938,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1939,1,0.4,0.7,-0.2,1.1,1.6,1.2,1.4,1.3,1,-0.3,0.9
1940,0.9,0.6,0.2,1.8,1.8,1.8,0.7,-0.7,0.2,2.1,0.7,2.6
1941,1.9,0.5,2.3,1.8,0.8,2,-0.8,0.1,1.6,1.8,0.7,2
1942,0.65,-1.25,1.9,0.65,-0.75,0.4,1.8,0.7,0.85,0.2,1.1,-0.25
1943,-0.9,1.1,0.6,-0.4,0.4,0.3,0.2,2.1,1.1,1.8,0.5,2.1
1944,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1945,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1946,1.9,3.3,-0.8,1.7,-0.9,1.5,-0.5,0.3,1.6,1.4,2.45,-0.5
1947,1.03,-0.2,1.37,1.87,-0.7,-0.77,0.53,1.03,1.73,-0.9,1.53,-0.3
1948,0.37,1.23,-0.13,1.93,-0.9,0.8,0,1.2,0.73,0.2,-0.65,2.15
1949,0.1,2.1,0.3,0.4,0.4,-1.5,-1.05,-0.5,2,0.75,0.1,1.2
1950,1.67,-0.6,0.63,-0.05,0.1,0.08,-0.15,-0.25,-0.45,-0.05,-1.05,-0.8
1951,-0.45,-0.47,-1.23,-1.8,0.93,-0.5,-0.82,1.45,-0.1,1.92,-0.2,2.18
1952,1.2,-2.27,-2.37,0.57,-0.48,1.37,-0.3,-1.51,0.46,-1.04,1.08,-1.73
1953,-0.16,0.23,0.41,-0.21,1.98,1.62,2.29,1.83,0.31,1.86,-0.29,0.7
1954,0.1,0.72,-0.77,-0.14,-0.76,-1.38,-2.73,0.42,1.05,-0.43,2.08,-3.66
1955,-4.27,2.5,-1.36,-0.09,0.34,0.36,-0.35,-0.19,1.91,-1.09,-0.83,2.66
1956,-1.39,0.16,-1.67,0.58,-2.11,-0.04,1.01,-1.11,0.28,-0.58,-1.99,-1.58
1957,-1.4,-3.96,-1.44,-0.75,-0.93,-0.95,-0.11,-0.6,-1.28,-0.31,1.43,0.94
1958,-0.98,0.96,0.84,0.33,-1.23,0.91,1.66,-1.43,-0.29,-2.27,-0.62,2
1959,-0.9,0.59,1.74,-0.01,-0.78,0.13,1.52,2.16,0.4,0.84,-0.96,0.11
1960,0.5,3.13,1.66,-0.45,-0.76,0.72,0.55,-0.5,0.92,-0.54,-0.28,-1.46
1961,0.04,1.9,0.73,1.27,0.14,0.93,1.85,0.8,0.14,0.5,1.53,0.51
1962,-0.99,2.22,0.35,-1.19,0.2,0,0.8,-0.4,0.21,-0.37,-0.93,1.39
1963,-1.41,0.06,0.98,-0.86,-0.72,-0.33,-0.17,-0.08,0.63,-0.56,1.23,0.73
1964,0.79,-5,0.4,1.17,-0.55,-0.26,1.85,0.5,1.08,0.18,0.12,0.64
1965,1.48,1.37,-0.38,-1.81,0.74,-0.23,0.11,-1.24,-0.2,0.71,1.13,-0.74
1966,1.14,2.61,0.94,-0.32,-0.29,0.35,0.94,1.9,-1.01,0.4,0.32,-1.76
1967,-1.07,-0.2,0.19,-0.43,0.87,1.78,0.45,2.93,-0.07,-0.39,-1.39,-3.97
1968,-0.4,-2.08,1.27,0.28,-0.06,0.9,-0.88,-0.5,0.22,-1.57,1.7,2.65
1969,-1.59,-4.69,-1.34,-0.09,0.8,-0.59,-1.08,0.39,0.75,0.3,-1.84,-0.67
1970,-1.17,1.7,-2.59,-0.81,-0.06,-1.3,-0.68,0.44,-0.3,0.45,-0.47,0.61
1971,-0.01,-0.78,-0.82,-0.12,0.28,-0.05,2.06,0.04,-0.25,-1.41,0.34,-0.46
1972,0.12,-3.06,-0.06,-0.52,-0.78,0.21,-1.06,-0.99,-0.97,-0.32,0.19,0.62
1973,0.57,1.55,1.06,1.2,-1.27,-0.56,0,1.05,-0.95,-0.92,0,-0.6
1974,-0.44,-0.86,-0.26,1.34,0.34,-0.62,-0.81,-0.94,0.16,-0.81,0.78,-1.38
1975,1.38,1.17,0.63,-0.22,-0.74,-0.13,-0.26,0.27,2.21,0.25,-0.18,-1.41
1976,0.45,1.74,-0.61,-1.01,0.08,-0.67,-1.34,0.36,-0.51,0.53,-3.12,0.04
