Month,value
1905-1,131.0
1905-2,84.0
1905-3,85.0
1905-4,84.0
1905-5,99.0
1905-6,121.0
1905-7,113.0
1905-8,87.0
1905-9,102.0
1905-10,103.0
1905-11,107.0
1905-12,119.0
1906-1,107.0
1906-2,92.0
1906-3,109.0
1906-4,104.0
1906-5,94.0
1906-6,96.0
1906-7,96.0
1906-8,92.0
1906-9,102.0
1906-10,104.0
1906-11,90.0
1906-12,113.0
1907-1,129.0
1907-2,90.0
1907-3,96.0
1907-4,104.0
1907-5,116.0
1907-6,103.0
1907-7,77.0
1907-8,104.0
1907-9,97.0
1907-10,111.0
1907-11,102.0
1907-12,118.0
1908-1,109.0
1908-2,98.0
1908-3,100.0
1908-4,83.0
1908-5,110.0
1908-6,106.0
1908-7,100.0
1908-8,108.0
1908-9,111.0
1908-10,110.0
1908-11,103.0
1908-12,124.0
1909-1,102.0
1909-2,108.0
1909-3,87.0
1909-4,116.0
1909-5,115.0
1909-6,87.0
1909-7,107.0
1909-8,110.0
1909-9,121.0
1909-10,109.0
1909-11,110.0
1909-12,102.0
1910-1,102.0
1910-2,93.0
1910-3,93.0
1910-4,82.0
1910-5,87.0
1910-6,104.0
1910-7,103.0
1910-8,103.0
1910-9,97.0
1910-10,107.0
1910-11,110.0
1910-12,89.0
1911-1,103.0
1911-2,105.0
1911-3,97.0
1911-4,100.0
1911-5,90.0
1911-6,60.0
1911-7,97.0
1911-8,99.0
1911-9,121.0
1911-10,95.0
1911-11,103.0
1911-12,91.0
1912-1,100.0
1912-2,127.0
1912-3,95.0
1912-4,112.0
1912-5,111.0
1912-6,119.0
1912-7,100.0
1912-8,95.0
1912-9,95.0
1912-10,107.0
1912-11,82.0
1912-12,94.0
1913-1,108.0
1913-2,108.0
1913-3,101.0
1913-4,93.0
1913-5,95.0
1913-6,108.0
1913-7,89.0
1913-8,111.0
1913-9,105.0
1913-10,115.0
1913-11,106.0
1913-12,96.0
1914-1,133.0
1914-2,128.0
1914-3,126.0
1914-4,97.0
1914-5,96.0
1914-6,113.0
1914-7,134.0
1914-8,104.0
1914-9,98.0
1914-10,115.0
1914-11,112.0
1914-12,110.0
1915-1,111.0
1915-2,107.0
1915-3,101.0
1915-4,89.0
1915-5,118.0
1915-6,114.0
1915-7,102.0
1915-8,97.0
1915-9,98.0
1915-10,118.0
1915-11,113.0
1915-12,127.0
1916-1,121.0
1916-2,108.0
1916-3,97.0
1916-4,103.0
1916-5,101.0
1916-6,102.0
1916-7,85.0
1916-8,91.0
1916-9,106.0
1916-10,104.0
1916-11,107.0
1916-12,102.0
1917-1,75.0
1917-2,107.0
1917-3,103.0
1917-4,118.0
1917-5,111.0
1917-6,109.0
1917-7,104.0
1917-8,102.0
1917-9,121.0
1917-10,104.0
1917-11,90.0
1917-12,80.0
1918-1,89.0
1918-2,113.0
1918-3,104.0
1918-4,98.0
1918-5,103.0
1918-6,104.0
1918-7,96.0
1918-8,105.0
1918-9,111.0
1918-10,113.0
1918-11,100.0
1918-12,110.0
1919-1,104.0
1919-2,113.0
1919-3,123.0
1919-4,124.0
1919-5,122.0
1919-6,109.0
1919-7,92.0
1919-8,110.0
1919-9,102.0
1919-10,105.0
1919-11,101.0
1919-12,96.0
1920-1,111.0
1920-2,88.0
1920-3,103.0
1920-4,95.0
1920-5,99.0
1920-6,103.0
1920-7,102.0
1920-8,105.0
1920-9,116.0
1920-10,117.0
1920-11,124.0
1920-12,122.0
1921-1,112.0
1921-2,125.0
1921-3,109.0
1921-4,97.0
1921-5,107.0
1921-6,78.0
1921-7,105.0
1921-8,85.0
1921-9,92.0
1921-10,92.0
1921-11,97.0
1921-12,113.0
1922-1,82.0
1922-2,110.0
1922-3,100.0
1922-4,106.0
1922-5,98.0
1922-6,102.0
1922-7,101.0
1922-8,98.0
1922-9,89.0
1922-10,104.0
1922-11,94.0
1922-12,106.0
1923-1,100.0
1923-2,100.0
1923-3,100.0
1923-4,100.0
1923-5,100.0
1923-6,100.0
1923-7,100.0
1923-8,100.0
1923-9,100.0
1923-10,100.0
1923-11,100.0
1923-12,100.0
1924-1,109.0
1924-2,100.0
1924-3,80.0
1924-4,114.0
1924-5,90.0
1924-6,100.0
1924-7,102.0
1924-8,102.0
1924-9,106.0
1924-10,104.0
1924-11,83.0
1924-12,98.0
1925-1,95.0
1925-2,89.0
1925-3,103.0
1925-4,87.0
1925-5,107.0
1925-6,113.0
1925-7,87.0
1925-8,91.0
1925-9,107.0
1925-10,109.0
1925-11,122.0
1925-12,111.0
1926-1,108.0
1926-2,99.0
1926-3,111.0
1926-4,105.0
1926-5,123.0
1926-6,88.0
1926-7,85.0
1926-8,116.0
1926-9,114.0
1926-10,94.0
1926-11,110.0
1926-12,91.0
1927-1,104.0
1927-2,94.0
1927-3,91.0
