Year, Annual
1894,-99.99
1895,-0.11
1896,-0.67
1897,-0.17
1898,-0.12
1899,-1.64
1900,0.28
1901,0.53
1902,-0.9
1903,-0.69
1904,-1.05
1905,-0.92
1906,-1
1907,-0.68
1908,0.16
1909,-0.23
1910,-1.1
1911,-99.99
1912,0.43
1913,0.08
1914,-0.89
1915,0.59
1916,0.7
1917,-0.27
1918,-0.47
1919,-0.52
1920,-0.85
1921,-0.52
1922,0.51
1923,0.57
1924,-0.17
1925,0.39
1926,1.77
1927,1.69
1928,2.36
1929,2.59
1930,1.03
1931,0.62
1932,2.45
1933,1.93
1934,1.17
1935,0.91
1936,0.88
1937,1.02
1938,0.74
1939,2.28
1940,1
1941,2.17
1942,1.83
1943,0.28
1944,0.67
1945,1.58
1946,2.26
1947,1.68
1948,1.16
1949,-0.25
1950,1.75
1951,0.92
1952,1.47
1953,1.54
1954,1.73
1955,0.77
1956,1.38
1957,1.17
1958,0.96
1959,0.8
1960,1.71
1961,0.63
1962,0.71
1963,0.07
1964,1.27
1965,0.35
1966,-0.51
1967,-0.57
1968,-0.49
1969,-1.18
1970,0.08
1971,-1.39
1972,0.42
1973,-0.74
1974,0.83
1975,-0.17
1976,0.67
1977,0.53
1978,0.57
1979,0.15
1980,0.77
1981,-1.08
1982,-0.33
1983,-1.55
1984,0.01
1985,0.79
1986,0.69
1987,0.78
1988,-0.47
1989,-0.5
1990,-0.15
1991,1.01
1992,-0.24
1993,-0.18
1994,0.48
1995,0.13
1996,1.49
1997,0.6
1998,0.79
1999,0.93
2000,1.17
2001,1.21
2002,1.83
2003,2.88
2004,1.79
2005,2.14
2006,1.16
2007,1.78
2008,1.24
2009,1.47
2010,2.79
2011,1.03
2012,1.8
2013,1.47
2014,2.4
2015,1.24
2016,3.69
2017,1.94
2018,-99.99
