Year,Annual
1850,-0.336
1851,-0.159
1852,-0.107
1853,-0.177
1854,-0.071
1855,-0.19
1856,-0.378
1857,-0.405
1858,-0.4
1859,-0.215
1860,-0.363
1861,-0.295
1862,-0.668
1863,-0.195
1864,-0.521
1865,-0.258
1866,-0.21
1867,-0.338
1868,-0.128
1869,-0.127
1870,-0.203
1871,-0.397
1872,-0.185
1873,-0.295
1874,-0.272
1875,-0.508
1876,-0.345
1877,0
1878,0.192
1879,-0.222
1880,-0.242
1881,-0.238
1882,-0.244
1883,-0.359
1884,-0.474
1885,-0.367
1886,-0.338
1887,-0.356
1888,-0.266
1889,-0.138
1890,-0.363
1891,-0.289
1892,-0.466
1893,-0.543
1894,-0.375
1895,-0.368
1896,-0.152
1897,-0.144
1898,-0.288
1899,-0.22
1900,-0.096
1901,-0.124
1902,-0.367
1903,-0.4
1904,-0.485
1905,-0.336
1906,-0.199
1907,-0.477
1908,-0.458
1909,-0.448
1910,-0.417
1911,-0.421
1912,-0.466
1913,-0.447
1914,-0.237
1915,-0.125
1916,-0.385
1917,-0.493
1918,-0.353
1919,-0.36
1920,-0.278
1921,-0.101
1922,-0.245
1923,-0.231
1924,-0.222
1925,-0.117
1926,-0.008
1927,-0.113
1928,-0.142
1929,-0.318
1930,-0.011
1931,0.035
1932,-0.068
1933,-0.239
1934,-0.034
1935,-0.097
1936,-0.049
1937,0.073
1938,0.107
1939,0.041
1940,0.008
1941,0.039
1942,0.022
1943,0.1
1944,0.186
1945,0.024
1946,0.027
1947,0.019
1948,0.08
1949,-0.027
1950,-0.17
1951,0.051
1952,0.039
1953,0.199
1954,-0.058
1955,-0.088
1956,-0.262
1957,0.009
1958,0.116
1959,0.073
1960,0.015
1961,0.065
1962,0.089
1963,0.148
1964,-0.169
1965,-0.134
1966,0.003
1967,0.026
1968,-0.063
1969,-0.054
1970,-0.056
1971,-0.193
1972,-0.222
1973,0.024
1974,-0.261
1975,-0.123
1976,-0.293
1977,0.034
1978,-0.056
1979,0.006
1980,0.068
1981,0.236
1982,-0.029
1983,0.168
1984,-0.085
1985,-0.131
1986,0.026
1987,0.153
1988,0.233
1989,0.164
1990,0.412
1991,0.316
1992,0.074
1993,0.13
1994,0.28
1995,0.47
1996,0.175
1997,0.456
1998,0.614
1999,0.408
2000,0.404
2001,0.558
2002,0.593
2003,0.642
2004,0.604
2005,0.724
2006,0.676
2007,0.713
2008,0.569
2009,0.594
2010,0.74
2011,0.575
2012,0.627
2013,0.674
2014,0.779
2015,1.033
2016,1.064
2017,0.922
2018,0.791
