Year, Annual
1905,0.29
1906,-0.01
1907,0.39
1908,0.52
1909,0.62
1910,-0.25
1911,-0.33
1912,0.31
1913,0.29
1914,1.38
1915,0.79
1916,0.22
1917,0.2
1918,0.38
1919,0.84
1920,0.71
1921,0.1
1922,-0.08
1923,-99.99
1924,-0.1
1925,0.17
1926,0.37
1927,0.69
1928,0.84
1929,0.27
1930,0.25
1931,-0.21
1932,0.69
1933,0.24
1934,0.33
1935,0.85
1936,-0.21
1937,0.21
1938,-99.99
1939,0.84
1940,1.06
1941,1.23
1942,0.5
1943,0.74
1944,-99.99
1945,-99.99
1946,0.95
1947,0.52
1948,0.58
1949,0.36
1950,-0.08
1951,0.08
1952,-0.42
1953,0.88
1954,-0.46
1955,-0.03
1956,-0.7
1957,-0.78
1958,-0.01
1959,0.4
1960,0.29
1961,0.86
1962,0.11
1963,-0.04
1964,0.08
1965,0.08
1966,0.43
1967,-0.11
1968,0.13
1969,-0.8
1970,-0.35
1971,-0.1
1972,-0.55
1973,0.09
1974,-0.29
1975,0.25
1976,-0.34
1977,0.08
1978,0.71
1979,0.29
1980,-0.55
1981,-0.2
1982,0.05
1983,0.17
1984,-0.54
1985,-0.33
1986,-0.12
1987,0.17
1988,0.12
1989,-0.06
1990,0.67
1991,-0.08
1992,0.18
1993,-0.06
1994,1.28
1995,0.64
1996,0.2
1997,0.87
1998,1.37
1999,0.9
2000,0.97
2001,1.01
2002,1.36
2003,0.57
2004,1.45
2005,0.87
2006,1.58
2007,1.77
2008,0.9
2009,1.1
2010,0.98
2011,0.64
2012,0.69
2013,1.38
2014,1.14
2015,1.04
2016,1.5
2017,1.39
2018,-99.99
