Year, Annual
1930,-0.83
1931,-0.83
1932,-99.99
1933,-99.99
1934,-99.99
1935,-99.99
1936,-99.99
1937,-99.99
1938,-99.99
1939,-99.99
1940,-99.99
1941,-99.99
1942,-99.99
1943,-99.99
1944,-99.99
1945,-99.99
1946,-99.99
1947,-99.99
1948,-99.99
1949,-99.99
1950,-99.99
1951,-0.37
1952,-1.47
1953,0.04
1954,-1.74
1955,-0.42
1956,-0.62
1957,-0.23
1958,-0.17
1959,-0.31
1960,-0.9
1961,-0.22
1962,0.11
1963,0.75
1964,-0.33
1965,0.53
1966,-0.24
1967,-1.03
1968,-0.1
1969,-0.81
1970,-0.48
1971,0.19
1972,-0.32
1973,0.36
1974,-0.21
1975,-0.37
1976,-0.75
1977,0.18
1978,0.42
1979,-0.09
1980,0.38
1981,-0.02
1982,0.71
1983,0.52
1984,-1.06
1985,-0.22
1986,0.22
1987,0.24
1988,0.14
1989,0.53
1990,0.85
1991,0.69
1992,0.04
1993,0.01
1994,0.41
1995,0.36
1996,-0.14
1997,1.3
1998,1.12
1999,1.21
2000,0.59
2001,1.19
2002,1.49
2003,0.39
2004,1.21
2005,1.03
2006,1.66
2007,1.95
2008,1.6
2009,1.47
2010,1.14
2011,0.92
2012,0.47
2013,1.6
2014,0.63
2015,1.78
2016,1.66
2017,0.76
2018,-99.99
